"name","smiles","inchi","mass"
"IBUTOLOHB","OCC(C)(C)O","InChI=1S/C4H10O2/c1-4(2,6)3-5/h5-6H,3H2,1-2H3",90.1210
"IBUTOLOHC","OCC(C)CO","InChI=1S/C4H10O2/c1-4(2-5)3-6/h4-6H,2-3H2,1H3",90.1210
"IBUTALOH","O=CC(C)(C)O","InChI=1S/C4H8O2/c1-4(2,6)3-5/h3,6H,1-2H3",88.1051
"IPRHOCO3","[O]OC(=O)C(C)(C)O","InChI=1S/C4H7O4/c1-4(2,6)3(5)8-7/h6H,1-2H3",119.0960
"C4PAN5","O=N(=O)OOC(=O)C(C)(C)O","InChI=1S/C4H7NO6/c1-4(2,7)3(6)10-11-5(8)9/h7H,1-2H3",165.1015
"IPRHOCO3H","OOC(=O)C(C)(C)O","InChI=1S/C4H8O4/c1-4(2,6)3(5)8-7/h6-7H,1-2H3",120.1039
"IBUTOLBO","OCC(C)(C)[O]","InChI=1S/C4H9O2/c1-4(2,6)3-5/h5H,3H2,1-2H3",89.1131
"IBUOHCOO","[O]C(=O)C(C)(C)O","InChI=1S/C4H7O3/c1-4(2,7)3(5)6/h7H,1-2H3",103.0966
"NBUTOL","CCCCO","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",74.1216
"NBUTOLAO2","CCC(CO)O[O]","InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4-5H,2-3H2,1H3",105.1125
"NBUTOLBO2","OCCC(C)O[O]","InChI=1S/C4H9O3/c1-4(7-6)2-3-5/h4-5H,2-3H2,1H3",105.1125
"NBUTOLAO","CCC([O])CO","InChI=1S/C4H9O2/c1-2-4(6)3-5/h4-5H,2-3H2,1H3",89.1131
"NBUTOLANO3","CCC(CO)ON(=O)=O","InChI=1S/C4H9NO4/c1-2-4(3-6)9-5(7)8/h4,6H,2-3H2,1H3",135.1186
"NBUTOLAOOH","CCC(CO)OO","InChI=1S/C4H10O3/c1-2-4(3-5)7-6/h4-6H,2-3H2,1H3",106.1204
"NBUTOLAOH","CCC(O)CO","InChI=1S/C4H10O2/c1-2-4(6)3-5/h4-6H,2-3H2,1H3",90.1210
"NBUTOLBO","OCCC(C)[O]","InChI=1S/C4H9O2/c1-4(6)2-3-5/h4-5H,2-3H2,1H3",89.1131
"NBUTOLBNO3","OCCC(C)ON(=O)=O","InChI=1S/C4H9NO4/c1-4(2-3-6)9-5(7)8/h4,6H,2-3H2,1H3",135.1186
"NBUTOLBOOH","OCCC(C)OO","InChI=1S/C4H10O3/c1-4(7-6)2-3-5/h4-6H,2-3H2,1H3",106.1204
"ME3BUOL","OCCC(C)C","InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",88.1482
"C3ME3CHO","O=CCC(C)C","InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3",86.1323
"ME3BUOLO2","OCC(O[O])C(C)C","InChI=1S/C5H11O3/c1-4(2)5(3-6)8-7/h4-6H,3H2,1-2H3",119.1390
"ME3BUOLO","OCC([O])C(C)C","InChI=1S/C5H11O2/c1-4(2)5(7)3-6/h4-6H,3H2,1-2H3",103.1396
"ME3BUOLNO3","OCC(ON(=O)=O)C(C)C","InChI=1S/C5H11NO4/c1-4(2)5(3-7)10-6(8)9/h4-5,7H,3H2,1-2H3",149.1451
"ME3BUOLOOH","OCC(OO)C(C)C","InChI=1S/C5H12O3/c1-4(2)5(3-6)8-7/h4-7H,3H2,1-2H3",120.1470
"ME3CO2BUOL","OCC(=O)C(C)C","InChI=1S/C5H10O2/c1-4(2)5(7)3-6/h4,6H,3H2,1-2H3",102.1317
"C4ME3HO12","OCC(O)C(C)C","InChI=1S/C5H12O2/c1-4(2)5(7)3-6/h4-7H,3H2,1-2H3",104.1476
"C3ME3CO3","[O]OC(=O)CC(C)C","InChI=1S/C5H9O3/c1-4(2)3-5(6)8-7/h4H,3H2,1-2H3",117.1232
"C3ME3CHOO2","O=CCC(C)(C)O[O]","InChI=1S/C5H9O3/c1-5(2,8-7)3-4-6/h4H,3H2,1-2H3",117.1232
"C3ME3PAN","CC(C)CC(=O)OON(=O)=O","InChI=1S/C5H9NO5/c1-4(2)3-5(7)10-11-6(8)9/h4H,3H2,1-2H3",163.1287
"C3ME3CO2","CC(C)CC(=O)[O]","InChI=1S/C5H9O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3",101.1238
"C3ME3CO3H","OOC(=O)CC(C)C","InChI=1S/C5H10O3/c1-4(2)3-5(6)8-7/h4,7H,3H2,1-2H3",118.1311
"C3ME3CO2H","CC(C)CC(=O)O","InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)",102.1317
"C3ME3CHOO","O=CCC(C)(C)[O]","InChI=1S/C5H9O2/c1-5(2,7)3-4-6/h4H,3H2,1-2H3",101.1238
"C3M3CHONO3","O=CCC(C)(C)ON(=O)=O","InChI=1S/C5H9NO4/c1-5(2,3-4-7)10-6(8)9/h4H,3H2,1-2H3",147.1293
"C3M3CHOOOH","O=CCC(C)(C)OO","InChI=1S/C5H10O3/c1-5(2,8-7)3-4-6/h4,7H,3H2,1-2H3",118.1311
"METHACET","COC(=O)C","InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3",74.0785
"METHACETO2","CC(=O)OCO[O]","InChI=1S/C3H5O4/c1-3(4)6-2-7-5/h2H2,1H3",105.0694
"METACETO2H","CC(=O)OCOO","InChI=1S/C3H6O4/c1-3(4)6-2-7-5/h5H,2H2,1H3",106.0773
"METACETHO","O=COC(=O)C","InChI=1S/C3H4O3/c1-3(5)6-2-4/h2H,1H3",88.0621
"METACETOH","CC(=O)OCO","InChI=1S/C3H6O3/c1-3(5)6-2-4/h4H,2H2,1H3",90.0779
"METHACETO","CC(=O)OC[O]","InChI=1S/C3H5O3/c1-3(5)6-2-4/h2H2,1H3",89.0700
"METACETNO3","CC(=O)OCON(=O)=O","InChI=1S/C3H5NO5/c1-3(5)8-2-9-4(6)7/h2H2,1H3",135.0755
"ETHACET","CCOC(=O)C","InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",88.1051
"ETHACETO2","CC(OC(=O)C)O[O]","InChI=1S/C4H7O4/c1-3(5)7-4(2)8-6/h4H,1-2H3",119.0960
"ETACETNO3","CC(=O)OC(C)ON(=O)=O","InChI=1S/C4H7NO5/c1-3(6)9-4(2)10-5(7)8/h4H,1-2H3",149.1021
"ETHACETOOH","CC(OC(=O)C)OO","InChI=1S/C4H8O4/c1-3(5)7-4(2)8-6/h4,6H,1-2H3",120.1039
"METHCOACET","CC(=O)OC(=O)C","InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3",102.0886
"ETHACETOH","CC(O)OC(=O)C","InChI=1S/C4H8O3/c1-3(5)7-4(2)6/h3,5H,1-2H3",104.1045
"MECOACETO2","CC(=O)OC(=O)CO[O]","InChI=1S/C4H5O5/c1-3(5)9-4(6)2-8-7/h2H2,1H3",133.0795
"MECOACEOOH","CC(=O)OC(=O)COO","InChI=1S/C4H6O5/c1-3(5)9-4(6)2-8-7/h7H,2H2,1H3",134.0874
"ETHACETO","CC([O])OC(=O)C","InChI=1S/C4H7O3/c1-3(5)7-4(2)6/h3H,1-2H3",103.0966
"MECOACETO","CC(=O)OC(=O)C[O]","InChI=1S/C4H5O4/c1-3(6)8-4(7)2-5/h2H2,1H3",117.0801
"ACEC2H4NO3","CC(=O)OCCON(=O)=O","InChI=1S/C4H7NO5/c1-4(6)9-2-3-10-5(7)8/h2-3H2,1H3",149.1021
"NPROACET","CCCOC(=O)C","InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",102.1317
"NPROACEAO2","CC(COC(=O)C)O[O]","InChI=1S/C5H9O4/c1-4(9-7)3-8-5(2)6/h4H,3H2,1-2H3",133.1226
"NPROACEBO2","CCC(O[O])OC(=O)C","InChI=1S/C5H9O4/c1-3-5(9-7)8-4(2)6/h5H,3H2,1-2H3",133.1226
"NPROACEAO","CC([O])COC(=O)C","InChI=1S/C5H9O3/c1-4(6)3-8-5(2)7/h4H,3H2,1-2H3",117.1232
"NPRACANO3","CC(=O)OCC(C)ON(=O)=O","InChI=1S/C5H9NO5/c1-4(11-6(8)9)3-10-5(2)7/h4H,3H2,1-2H3",163.1287
"NPRACAOOH","CC(COC(=O)C)OO","InChI=1S/C5H10O4/c1-4(9-7)3-8-5(2)6/h4,7H,3H2,1-2H3",134.1305
"ACEPROPONE","CC(=O)OCC(=O)C","InChI=1S/C5H8O3/c1-4(6)3-8-5(2)7/h3H2,1-2H3",116.1152
"NPRACAOH","CC(O)COC(=O)C","InChI=1S/C5H10O3/c1-4(6)3-8-5(2)7/h4,6H,3H2,1-2H3",118.1311
"NPROACEBO","CCC([O])OC(=O)C","InChI=1S/C5H9O3/c1-3-5(7)8-4(2)6/h5H,3H2,1-2H3",117.1232
"NPRACBNO3","CCC(OC(=O)C)ON(=O)=O","InChI=1S/C5H9NO5/c1-3-5(10-4(2)7)11-6(8)9/h5H,3H2,1-2H3",163.1287
"NPRACBOOH","CCC(OO)OC(=O)C","InChI=1S/C5H10O4/c1-3-5(9-7)8-4(2)6/h5,7H,3H2,1-2H3",134.1305
"ACETCOC2H5","CCC(=O)OC(=O)C","InChI=1S/C5H8O3/c1-3-5(7)8-4(2)6/h3H2,1-2H3",116.1152
"NPRACBOH","CCC(O)OC(=O)C","InChI=1S/C5H10O3/c1-3-5(7)8-4(2)6/h5,7H,3H2,1-2H3",118.1311
"ACPRONEO2","[O]OC(OC(=O)C)C(=O)C","InChI=1S/C5H7O5/c1-3(6)5(10-8)9-4(2)7/h5H,1-2H3",147.1061
"ACPRONEOOH","OOC(OC(=O)C)C(=O)C","InChI=1S/C5H8O5/c1-3(6)5(10-8)9-4(2)7/h5,8H,1-2H3",148.1140
"ACECOCOCH3","CC(=O)OC(=O)C(=O)C","InChI=1S/C5H6O4/c1-3(6)5(8)9-4(2)7/h1-2H3",130.0987
"ACPRONEOH","CC(=O)OC(O)C(=O)C","InChI=1S/C5H8O4/c1-3(6)5(8)9-4(2)7/h5,8H,1-2H3",132.1146
"ACCOETO2","CC(=O)OC(=O)CCO[O]","InChI=1S/C5H7O5/c1-4(6)10-5(7)2-3-9-8/h2-3H2,1H3",147.1061
"ACCOETOOH","CC(=O)OC(=O)CCOO","InChI=1S/C5H8O5/c1-4(6)10-5(7)2-3-9-8/h8H,2-3H2,1H3",148.1140
"ACCOCOMEO2","[O]OCC(=O)C(=O)OC(=O)C","InChI=1S/C5H5O6/c1-3(6)11-5(8)4(7)2-10-9/h2H2,1H3",161.0896
"ACCOCOMOOH","OOCC(=O)C(=O)OC(=O)C","InChI=1S/C5H6O6/c1-3(6)11-5(8)4(7)2-10-9/h9H,2H2,1H3",162.0975
"ACCOETO","CC(=O)OC(=O)CC[O]","InChI=1S/C5H7O4/c1-4(7)9-5(8)2-3-6/h2-3H2,1H3",131.1067
"ACCOMECHO","O=CCC(=O)OC(=O)C","InChI=1S/C5H6O4/c1-4(7)9-5(8)2-3-6/h3H,2H2,1H3",130.0987
"ACCOMECO3","CC(=O)OC(=O)CC(=O)O[O]","InChI=1S/C5H5O6/c1-3(6)10-4(7)2-5(8)11-9/h2H2,1H3",161.0896
"ACCOMEPAN","O=C(OON(=O)=O)CC(=O)OC(=O)C","InChI=1S/C5H5NO8/c1-3(7)12-4(8)2-5(9)13-14-6(10)11/h2H2,1H3",207.0951
"ACCOMECO3H","CC(=O)OC(=O)CC(=O)OO","InChI=1S/C5H6O6/c1-3(6)10-4(7)2-5(8)11-9/h9H,2H2,1H3",162.0975
"NPROACECO2","[O]OCCCOC(=O)C","InChI=1S/C5H9O4/c1-5(6)8-3-2-4-9-7/h2-4H2,1H3",133.1226
"NPROACECO","CC(=O)OCCC[O]","InChI=1S/C5H9O3/c1-5(7)8-4-2-3-6/h2-4H2,1H3",117.1232
"NPRACCNO3","CC(=O)OCCCON(=O)=O","InChI=1S/C5H9NO5/c1-5(7)10-3-2-4-11-6(8)9/h2-4H2,1H3",163.1287
"NPRACCOOH","OOCCCOC(=O)C","InChI=1S/C5H10O4/c1-5(6)8-3-2-4-9-7/h7H,2-4H2,1H3",134.1305
"ACEC2CHO","O=CCCOC(=O)C","InChI=1S/C5H8O3/c1-5(7)8-4-2-3-6/h3H,2,4H2,1H3",116.1152
"NPRACCOH","CC(=O)OCCCO","InChI=1S/C5H10O3/c1-5(7)8-4-2-3-6/h6H,2-4H2,1H3",118.1311
"ACPRONEO","CC(=O)OC([O])C(=O)C","InChI=1S/C5H7O4/c1-3(6)5(8)9-4(2)7/h5H,1-2H3",131.1067
"ACCOMECO2","[O]C(=O)CC(=O)OC(=O)C","InChI=1S/C5H5O5/c1-3(6)10-5(9)2-4(7)8/h2H2,1H3",145.0902
"ACETC2CO3","[O]OC(=O)CCOC(=O)C","InChI=1S/C5H7O5/c1-4(6)9-3-2-5(7)10-8/h2-3H2,1H3",147.1061
"ACETC2CO2","[O]C(=O)CCOC(=O)C","InChI=1S/C5H7O4/c1-4(6)9-3-2-5(7)8/h2-3H2,1H3",131.1067
"ACETC2PAN","O=C(CCOC(=O)C)OON(=O)=O","InChI=1S/C5H7NO7/c1-4(7)11-3-2-5(8)12-13-6(9)10/h2-3H2,1H3",193.1116
"ACETC2CO3H","OOC(=O)CCOC(=O)C","InChI=1S/C5H8O5/c1-4(6)9-3-2-5(7)10-8/h8H,2-3H2,1H3",148.1140
"ACETC2CO2H","OC(=O)CCOC(=O)C","InChI=1S/C5H8O4/c1-4(6)9-3-2-5(7)8/h2-3H2,1H3,(H,7,8)",132.1146
"ACCOCOMEO","CC(=O)OC(=O)C(=O)C[O]","InChI=1S/C5H5O5/c1-3(7)10-5(9)4(8)2-6/h2H2,1H3",145.0902
"IPROACET","CC(C)OC(=O)C","InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",102.1317
"IPROACETO2","[O]OC(C)(C)OC(=O)C","InChI=1S/C5H9O4/c1-4(6)8-5(2,3)9-7/h1-3H3",133.1226
"IPRACNO3","CC(=O)OC(C)(C)ON(=O)=O","InChI=1S/C5H9NO5/c1-4(7)10-5(2,3)11-6(8)9/h1-3H3",163.1287
"IPRACOOH","OOC(C)(C)OC(=O)C","InChI=1S/C5H10O4/c1-4(6)8-5(2,3)9-7/h7H,1-3H3",134.1305
"IPRACOH","CC(=O)OC(C)(C)O","InChI=1S/C5H10O3/c1-4(6)8-5(2,3)7/h7H,1-3H3",118.1311
"IPRACBO2","CC(CO[O])OC(=O)C","InChI=1S/C5H9O4/c1-4(3-8-7)9-5(2)6/h4H,3H2,1-2H3",133.1226
"IPROACETO","CC(=O)OC(C)(C)[O]","InChI=1S/C5H9O3/c1-4(6)8-5(2,3)7/h1-3H3",117.1232
"IPRACBO","CC(C[O])OC(=O)C","InChI=1S/C5H9O3/c1-4(3-6)8-5(2)7/h4H,3H2,1-2H3",117.1232
"IPRACBNO3","CC(=O)OC(C)CON(=O)=O","InChI=1S/C5H9NO5/c1-4(11-5(2)7)3-10-6(8)9/h4H,3H2,1-2H3",163.1287
"IPRACBOOH","CC(COO)OC(=O)C","InChI=1S/C5H10O4/c1-4(3-8-7)9-5(2)6/h4,7H,3H2,1-2H3",134.1305
"IPRACBCHO","O=CC(C)OC(=O)C","InChI=1S/C5H8O3/c1-4(3-6)8-5(2)7/h3-4H,1-2H3",116.1152
"IPRACBOH","CC(CO)OC(=O)C","InChI=1S/C5H10O3/c1-4(3-6)8-5(2)7/h4,6H,3H2,1-2H3",118.1311
"IPRACBPAN","O=N(=O)OOC(=O)C(C)OC(=O)C","InChI=1S/C5H7NO7/c1-3(11-4(2)7)5(8)12-13-6(9)10/h3H,1-2H3",193.1116
"IPRACBCO3H","CC(OC(=O)C)C(=O)OO","InChI=1S/C5H8O5/c1-3(5(7)10-8)9-4(2)6/h3,8H,1-2H3",148.1140
"IPRACBCO3","CC(OC(=O)C)C(=O)O[O]","InChI=1S/C5H7O5/c1-3(5(7)10-8)9-4(2)6/h3H,1-2H3",147.1061
"IPRACBCO2","CC(=O)OC(C)C(=O)[O]","InChI=1S/C5H7O4/c1-3(5(7)8)9-4(2)6/h3H,1-2H3",131.1067
"IPRACBCO2H","CC(=O)OC(C)C(=O)O","InChI=1S/C5H8O4/c1-3(5(7)8)9-4(2)6/h3H,1-2H3,(H,7,8)",132.1146
"SBUTACET","CCC(C)OC(=O)C","InChI=1S/C6H12O2/c1-4-5(2)8-6(3)7/h5H,4H2,1-3H3",116.1583
"SBUACETAO2","CCC(C)(O[O])OC(=O)C","InChI=1S/C6H11O4/c1-4-6(3,10-8)9-5(2)7/h4H2,1-3H3",147.1491
"SBUACETBO2","CC(OC(=O)C)C(C)O[O]","InChI=1S/C6H11O4/c1-4(5(2)10-8)9-6(3)7/h4-5H,1-3H3",147.1491
"SBUACANO3","CCC(C)(OC(=O)C)ON(=O)=O","InChI=1S/C6H11NO5/c1-4-6(3,11-5(2)8)12-7(9)10/h4H2,1-3H3",177.1552
"SBUACAOOH","CCC(C)(OO)OC(=O)C","InChI=1S/C6H12O4/c1-4-6(3,10-8)9-5(2)7/h8H,4H2,1-3H3",148.1571
"SBUACAOH","CCC(C)(O)OC(=O)C","InChI=1S/C6H12O3/c1-4-6(3,8)9-5(2)7/h8H,4H2,1-3H3",132.1577
"SBUACETAO","CCC(C)([O])OC(=O)C","InChI=1S/C6H11O3/c1-4-6(3,8)9-5(2)7/h4H2,1-3H3",131.1497
"SBUACETBO","CC(=O)OC(C)C(C)[O]","InChI=1S/C6H11O3/c1-4(7)5(2)9-6(3)8/h4-5H,1-3H3",131.1497
"SBUACBNO3","O=N(=O)OC(C)C(C)OC(=O)C","InChI=1S/C6H11NO5/c1-4(11-6(3)8)5(2)12-7(9)10/h4-5H,1-3H3",177.1552
"SBUACBOOH","CC(OC(=O)C)C(C)OO","InChI=1S/C6H12O4/c1-4(5(2)10-8)9-6(3)7/h4-5,8H,1-3H3",148.1571
"SBUACEONE","CC(=O)OC(C)C(=O)C","InChI=1S/C6H10O3/c1-4(7)5(2)9-6(3)8/h5H,1-3H3",130.1418
"SBUACBOH","CC(=O)OC(C)C(C)O","InChI=1S/C6H12O3/c1-4(7)5(2)9-6(3)8/h4-5,7H,1-3H3",132.1577
"SBUACONEO2","[O]OC(C)(OC(=O)C)C(=O)C","InChI=1S/C6H9O5/c1-4(7)6(3,11-9)10-5(2)8/h1-3H3",161.1327
"SBUACCOOH","OOC(C)(OC(=O)C)C(=O)C","InChI=1S/C6H10O5/c1-4(7)6(3,11-9)10-5(2)8/h9H,1-3H3",162.1406
"SBUACONEO","CC(=O)OC(C)([O])C(=O)C","InChI=1S/C6H9O4/c1-4(7)6(3,9)10-5(2)8/h1-3H3",145.1333
"SBUACCOH","CC(=O)OC(C)(O)C(=O)C","InChI=1S/C6H10O4/c1-4(7)6(3,9)10-5(2)8/h9H,1-3H3",146.1412
"NBUTACET","CCCCOC(=O)C","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",116.1583
"NBUACETAO2","[O]OC(C)CCOC(=O)C","InChI=1S/C6H11O4/c1-5(10-8)3-4-9-6(2)7/h5H,3-4H2,1-2H3",147.1491
"NBUACETBO2","CCC(O[O])COC(=O)C","InChI=1S/C6H11O4/c1-3-6(10-8)4-9-5(2)7/h6H,3-4H2,1-2H3",147.1491
"NBUACETCO2","CCCC(O[O])OC(=O)C","InChI=1S/C6H11O4/c1-3-4-6(10-8)9-5(2)7/h6H,3-4H2,1-2H3",147.1491
"NBUACETAO","CC([O])CCOC(=O)C","InChI=1S/C6H11O3/c1-5(7)3-4-9-6(2)8/h5H,3-4H2,1-2H3",131.1497
"NBUACANO3","CC(=O)OCCC(C)ON(=O)=O","InChI=1S/C6H11NO5/c1-5(12-7(9)10)3-4-11-6(2)8/h5H,3-4H2,1-2H3",177.1552
"NBUACAOOH","OOC(C)CCOC(=O)C","InChI=1S/C6H12O4/c1-5(10-8)3-4-9-6(2)7/h5,8H,3-4H2,1-2H3",148.1571
"ACEBUTONE","CC(=O)CCOC(=O)C","InChI=1S/C6H10O3/c1-5(7)3-4-9-6(2)8/h3-4H2,1-2H3",130.1418
"NBUACAOH","CC(O)CCOC(=O)C","InChI=1S/C6H12O3/c1-5(7)3-4-9-6(2)8/h5,7H,3-4H2,1-2H3",132.1577
"ACETC2H4O2","CC(=O)OCCO[O]","InChI=1S/C4H7O4/c1-4(5)7-2-3-8-6/h2-3H2,1H3",119.0960
"ACETC2H4O","CC(=O)OCC[O]","InChI=1S/C4H7O3/c1-4(6)7-3-2-5/h2-3H2,1H3",103.0966
"NBUACETBO","CCC([O])COC(=O)C","InChI=1S/C6H11O3/c1-3-6(8)4-9-5(2)7/h6H,3-4H2,1-2H3",131.1497
"NBUACBNO3","CCC(COC(=O)C)ON(=O)=O","InChI=1S/C6H11NO5/c1-3-6(12-7(9)10)4-11-5(2)8/h6H,3-4H2,1-2H3",177.1552
"NBUACBOOH","CCC(OO)COC(=O)C","InChI=1S/C6H12O4/c1-3-6(10-8)4-9-5(2)7/h6,8H,3-4H2,1-2H3",148.1571
"ACEBUTBONE","CCC(=O)COC(=O)C","InChI=1S/C6H10O3/c1-3-6(8)4-9-5(2)7/h3-4H2,1-2H3",130.1418
"NBUACBOH","CCC(O)COC(=O)C","InChI=1S/C6H12O3/c1-3-6(8)4-9-5(2)7/h6,8H,3-4H2,1-2H3",132.1577
"NBUACETCO","CCCC([O])OC(=O)C","InChI=1S/C6H11O3/c1-3-4-6(8)9-5(2)7/h6H,3-4H2,1-2H3",131.1497
"NBUACCNO3","CCCC(OC(=O)C)ON(=O)=O","InChI=1S/C6H11NO5/c1-3-4-6(11-5(2)8)12-7(9)10/h6H,3-4H2,1-2H3",177.1552
"NBUACCOOH","CCCC(OO)OC(=O)C","InChI=1S/C6H12O4/c1-3-4-6(10-8)9-5(2)7/h6,8H,3-4H2,1-2H3",148.1571
"ACETCOC3H7","CCCC(=O)OC(=O)C","InChI=1S/C6H10O3/c1-3-4-6(8)9-5(2)7/h3-4H2,1-2H3",130.1418
"NBUACCOH","CCCC(O)OC(=O)C","InChI=1S/C6H12O3/c1-3-4-6(8)9-5(2)7/h6,8H,3-4H2,1-2H3",132.1577
"ACBUONEAO2","[O]OC(CC(=O)C)OC(=O)C","InChI=1S/C6H9O5/c1-4(7)3-6(11-9)10-5(2)8/h6H,3H2,1-2H3",161.1327
"ACBUOAOOH","OOC(CC(=O)C)OC(=O)C","InChI=1S/C6H10O5/c1-4(7)3-6(11-9)10-5(2)8/h6,9H,3H2,1-2H3",162.1406
"ACEC2H4OOH","CC(=O)OCCOO","InChI=1S/C4H8O4/c1-4(5)7-2-3-8-6/h6H,2-3H2,1H3",120.1039
"ACBUONEBO2","[O]OC(OC(=O)C)C(=O)CC","InChI=1S/C6H9O5/c1-3-5(8)6(11-9)10-4(2)7/h6H,3H2,1-2H3",161.1327
"ACCOC3H6O2","CC(CC(=O)OC(=O)C)O[O]","InChI=1S/C6H9O5/c1-4(11-9)3-6(8)10-5(2)7/h4H,3H2,1-2H3",161.1327
"ACCOC3H6O","CC([O])CC(=O)OC(=O)C","InChI=1S/C6H9O4/c1-4(7)3-6(9)10-5(2)8/h4H,3H2,1-2H3",145.1333
"ACCOPROOH","CC(CC(=O)OC(=O)C)OO","InChI=1S/C6H10O5/c1-4(11-9)3-6(8)10-5(2)7/h4,9H,3H2,1-2H3",162.1406
"ACCOPRONE","CC(=O)CC(=O)OC(=O)C","InChI=1S/C6H8O4/c1-4(7)3-6(9)10-5(2)8/h3H2,1-2H3",144.1253
"ACCOMCOMO2","[O]OCC(=O)CC(=O)OC(=O)C","InChI=1S/C6H7O6/c1-4(7)12-6(9)2-5(8)3-11-10/h2-3H2,1H3",175.1162
"ACCOMCOMO","CC(=O)OC(=O)CC(=O)C[O]","InChI=1S/C6H7O5/c1-4(8)11-6(10)2-5(9)3-7/h2-3H2,1H3",159.1168
"ACOMCOMOOH","OOCC(=O)CC(=O)OC(=O)C","InChI=1S/C6H8O6/c1-4(7)12-6(9)2-5(8)3-11-10/h10H,2-3H2,1H3",176.1241
"ACBUONEAO","CC(=O)CC([O])OC(=O)C","InChI=1S/C6H9O4/c1-4(7)3-6(9)10-5(2)8/h6H,3H2,1-2H3",145.1333
"ACBUONANO3","CC(=O)CC(OC(=O)C)ON(=O)=O","InChI=1S/C6H9NO6/c1-4(8)3-6(12-5(2)9)13-7(10)11/h6H,3H2,1-2H3",191.1388
"ACBUONAOH","CC(=O)CC(O)OC(=O)C","InChI=1S/C6H10O4/c1-4(7)3-6(9)10-5(2)8/h6,9H,3H2,1-2H3",146.1412
"ACEETOHO2","CC(=O)OC(O)CO[O]","InChI=1S/C4H7O5/c1-3(5)9-4(6)2-8-7/h4,6H,2H2,1H3",135.0954
"ACEETOHO","CC(=O)OC(O)C[O]","InChI=1S/C4H7O4/c1-3(6)8-4(7)2-5/h4,7H,2H2,1H3",119.0960
"ACEETOHOOH","CC(=O)OC(O)COO","InChI=1S/C4H8O5/c1-3(5)9-4(6)2-8-7/h4,6-7H,2H2,1H3",136.1033
"ACBUONEBO","CCC(=O)C([O])OC(=O)C","InChI=1S/C6H9O4/c1-3-5(8)6(9)10-4(2)7/h6H,3H2,1-2H3",145.1333
"ACBUONBOOH","OOC(OC(=O)C)C(=O)CC","InChI=1S/C6H10O5/c1-3-5(8)6(11-9)10-4(2)7/h6,9H,3H2,1-2H3",162.1406
"ACCOCOC2H5","CCC(=O)C(=O)OC(=O)C","InChI=1S/C6H8O4/c1-3-5(8)6(9)10-4(2)7/h3H2,1-2H3",144.1253
"ACBUONBOH","CCC(=O)C(O)OC(=O)C","InChI=1S/C6H10O4/c1-3-5(8)6(9)10-4(2)7/h6,9H,3H2,1-2H3",146.1412
"ACCOCOETO2","[O]OC(C)C(=O)C(=O)OC(=O)C","InChI=1S/C6H7O6/c1-3(12-10)5(8)6(9)11-4(2)7/h3H,1-2H3",175.1162
"ACCOCOETO","CC(=O)OC(=O)C(=O)C(C)[O]","InChI=1S/C6H7O5/c1-3(7)5(9)6(10)11-4(2)8/h3H,1-2H3",159.1168
"ACCOCOEOOH","OOC(C)C(=O)C(=O)OC(=O)C","InChI=1S/C6H8O6/c1-3(12-10)5(8)6(9)11-4(2)7/h3,10H,1-2H3",176.1241
"MCOOTBNO3","O=N(=O)OCC(C)(C)OC(=O)C","InChI=1S/C6H11NO5/c1-5(8)12-6(2,3)4-11-7(9)10/h4H2,1-3H3",177.1552
"TBUACCO","O=CC(C)(C)OC(=O)C","InChI=1S/C6H10O3/c1-5(8)9-6(2,3)4-7/h4H,1-3H3",130.1418
"TBUACCO3","[O]OC(=O)C(C)(C)OC(=O)C","InChI=1S/C6H9O5/c1-4(7)10-6(2,3)5(8)11-9/h1-3H3",161.1327
"TBUACCO2","CC(=O)OC(C)(C)C(=O)[O]","InChI=1S/C6H9O4/c1-4(7)10-6(2,3)5(8)9/h1-3H3",145.1333
"TBUACPAN","O=N(=O)OOC(=O)C(C)(C)OC(=O)C","InChI=1S/C6H9NO7/c1-4(8)12-6(2,3)5(9)13-14-7(10)11/h1-3H3",207.1382
"TBUACCO3H","OOC(=O)C(C)(C)OC(=O)C","InChI=1S/C6H10O5/c1-4(7)10-6(2,3)5(8)11-9/h9H,1-3H3",162.1406
"TBUACOH","OCC(C)(C)OC(=O)C","InChI=1S/C6H12O3/c1-5(8)9-6(2,3)4-7/h7H,4H2,1-3H3",132.1577
"CH3OCH3","COC","InChI=1S/C2H6O/c1-3-2/h1-2H3",46.0684
